
2024/01/25 (09:19:20) | ===> btop++ v.1.3.0
2024/01/25 (09:19:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (09:21:32) | ===> btop++ v.1.3.0
2024/01/25 (09:21:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (09:22:52) | ===> btop++ v.1.3.0
2024/01/25 (09:22:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (09:25:51) | ===> btop++ v.1.3.0
2024/01/25 (09:25:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (09:39:19) | ===> btop++ v.1.3.0
2024/01/25 (09:39:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (20:44:29) | ===> btop++ v.1.3.0
2024/01/27 (20:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (13:47:19) | ===> btop++ v.1.3.0
2024/02/01 (13:47:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (14:41:16) | ===> btop++ v.1.3.0
2024/02/01 (14:41:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/02 (20:23:04) | ===> btop++ v.1.3.0
2024/02/02 (20:23:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (00:04:20) | ===> btop++ v.1.3.0
2024/02/04 (00:04:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (00:04:31) | ===> btop++ v.1.3.0
2024/02/04 (00:04:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (01:04:03) | ===> btop++ v.1.3.0
2024/02/04 (01:04:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (15:22:57) | ===> btop++ v.1.3.0
2024/02/04 (15:22:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/16 (01:27:56) | ===> btop++ v.1.3.2
2024/02/16 (01:27:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/19 (11:32:50) | ===> btop++ v.1.3.2
2024/02/19 (11:32:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/19 (12:11:26) | ===> btop++ v.1.3.2
2024/02/19 (12:11:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (19:49:57) | ===> btop++ v.1.3.2
2024/02/24 (19:49:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (14:34:28) | ===> btop++ v.1.3.2
2024/02/28 (14:34:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (14:37:27) | ===> btop++ v.1.3.2
2024/02/28 (14:37:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (14:52:36) | ===> btop++ v.1.3.2
2024/02/28 (14:52:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (14:55:17) | ===> btop++ v.1.3.2
2024/02/28 (14:55:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (00:37:09) | ===> btop++ v.1.3.2
2024/03/14 (00:37:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (13:01:37) | ===> btop++ v.1.3.2
2024/07/20 (13:01:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (17:43:54) | ===> btop++ v.1.3.2
2024/07/20 (17:43:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
